Nama Resto,alamat,daerah,buka_tutup,jam_buka,jam_tutup,harga_semua,harga_awal,harga_akhir,rata_rata,rating,telepon,tipe,menu,review 
Gyu - Kaku Japanese BBQ  -  ÆON Mall JGC,"AEON JGC. Ground Floor, Unite #, Jl. Jkt Garden City Boulevard No.48 G, RT.1/RW.6, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.1,2121056595,Restoran,"Beef roll, beef dice, wagyu","Harganya sih emg rada lumayan dibanding kompetitor tp semua elemen menu nya sampai side dish nya sih bener2 top notch. Kualitas dagingnya juga enak bgt. Semua staf nya ramah bgt dan sangat sangat responsif, terutama Kak Fitri, ramah dan baik. Sekelas hospitality lg naik maskapai full services."
Lazatto Chicken,"QWXV+P4V, RT.7/RW.5, Pulo Gebang, Cakung, East Jakarta City, Jakarta 13940",Jakarta Timur,07.00  -  21.00,7:00:00 AM,  21.00,10.000  -  30.000,"10.000,00","30.000,00","20.000,00",4.1,,Restoran,"Ayam Geprek, Ayam Bakar, Ayam Goreng, Sambal Matah",Rasanya lumayan enak. Pedasnya mantap. Chicken yang pakai sambal. Bukan saus
AR - Roja Kebuli,"Jl. Dr. Sumarno, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.9,83896505550,PKL,"Nasi Kebuli Ayam, Nasi Kebuli Kambing, Sate Ayam, Sate Kambing","Nasi kebuli ayam nya enak bangett, bumbunya meresap, dagingnya empuk. Semoga laris teruss, sukses selalu"
WARTEG PUTRA BAHARI 120,"7, RT.7/RW.5, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940",Jakarta Timur,00.01  -  24.00,12:01:00 AM,  24.00,5000  -  20.000,"5.000,00","20.000,00","12.500,00",4.4,,PKL,"Nasi Rames, Sayur Lodeh, Ikan Goreng, Ayam Balado","Makanan enak, tidak mahal, tempatnya bersih, pilihan lauknya banyak, murah rekomended untuk harga pelajar, pegawai/karyawan kelas menengah. Pelayanan unik, makan/bungkus gratis teh manis/es teh manis. Jadi kalo yg minta selain itu bayar"
NASI GORENG PADANG GUCHY PARESTO,"Jl. Dr. Sumarno No.55, RT.4/RW.4, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940",Jakarta Timur,17.00  -  01.00,5:00:00 PM,  01.00,15.000  -  30.000,"15.000,00","30.000,00","22.500,00",4.5,85219196007,PKL,"Nasi Goreng Padang, Ayam Goreng, Sambal Padang, Sate Padang","Ini menu makanan khas minang kabau yg super lengkap, bagi yg kangen masakan khas padang silahkan datang ke lokasinya langsung, lokasinya pas di depan kantor walikota jakarta timur"
Mie Gacoan Jakarta  -  JGC Cakung,"Jl. Jkt Garden City Boulevard, RT.7/RW.9, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,00.01  -  24.00,12:01:00 AM,  24.00,10.000  -  30.000,"10.000,00","30.000,00","20.000,00",4.2,,Restoran,"ayam keju, mie gacoan, lumpia udang",Rasa mienya lumayan enak dengan toping pangsit ayamnya yang berisi.. Tempatnya juga ok. Harganya terjangkau. Pemesanan bisa dilakukan dengan scan barcode jika makan makan di tempat. Dengan kondisi seperti itu wajar mie gacoan ini sering ramai.
"Marugame Udon, Green Terrace TMII, Lantai GF","Pintu 1 Tmii No.08 Blok D, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.6,81130552915,Restoran,"Udon, Tempura, Chicken Katsu, Rice Bowl","Udon andalan, cabang manapun selalu enak. harga juga dibilang mahal tapi enak, nyaman, minuman gratis isi ulang dan makanan pelengkapnya juga lengkap"
Resto Pondok Tepi Danau TMII,"MVWV+FRW, Ceger, Cipayung, East Jakarta City, Jakarta 13820",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",3.8,,Restoran,"Gurame Bakar, Ayam Goreng, Nasi Liwet, Sayur Asam","Tempat yang bagus, pemandangan yang bagus, tempat yang bagus..  Tepat di seberang kuil Buddha, Vihara Arya Dwipa Arama ..  Tempat yang bagus untuk menunggu acara yang terakhir.  Kami memesan minuman dingin (ya, kali ini kami memesan minuman ringan karena musim yang sangat panas!!).  Makanan ringan tambahan adalah Indomie Goreng, spesial dengan telur dan Bro memesan Nasi Sop Iga."
Soha Arabic & Indonesian Food,"Soha Arabic & Indonesian Food, Komplek Masjid Soleh Hawa Jl. Raya Ceger No.3, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,11.00  -  22.00,11:00:00 AM,  22.00,30.000  -  100.000,"30.000,00","100.000,00","65.000,00",4.8,,Restoran,"Nasi Kebuli, Ayam Bakar, Sate Ayam, Sate Kambing","Dagingnya banyak, lokasinya enak deket masjid, rasa oke dengan harga yang tidak terlalu mahal"
BBQ BURGER BAKAR & STEAK,"Jl. Rw. Binong, RT.3/RW.10, Lubang Buaya, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13810",Jakarta Timur,11.00  -  22.00,11:00:00 AM,  22.00,10.000  -  30.000,"10.000,00","30.000,00","20.000,00",4.6,85695463389,PKL,"Beef Burger, Chicken Burger, BBQ Ribs, Steak","Wah asli sii serba worth it, pelayanan cepeet, harga terjangkau, rasa okee, cuma lahan parkir aja yang agak kecil, nais, bakal balik lagiii"
Resto NN Tempo Doeloe / Tempo Doeloe NN,"Jl. Raya Mabes Hankam No.69, Bambu Apus, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13890",Jakarta Timur,07.00  -  18.00,7:00:00 AM,  18.00,30.000  -  100.000,"30.000,00","100.000,00","65.000,00",4.4,85892339828,Restoran,"Nasi Goreng, Mie Goreng, Sate Ayam, Sate Kambing",Dulu sekitar 20 taon lebi yg lalu sering makan disini waktu lokasinya masi di muara karang. Dulu suka banget pesan kwetiaw goreng n mie goreng tapi uda puluhan taon ga makan disana lagi sampe akhirnya pindah ke PIK. Sepertinya menunya banyak yg brubah n improved yaa dan kaget loh ternyata enakkkk bangettttt semuanya gada yg ga enak. Iseng pesan shark’s head taunya enaaaak gila sih rasanya bener2 kenyel n dagingnya tebel lih. Awalnya ragu takut bau amis tapi gak sama sekali. Menu lainnya seperti udang wasabi juga one of a kind ya unik n wasabinya ga bau padahal sy anti wasabi tapi ini enak bener.. ayamnya juga empuk n kepiting sokanya ulalaaa banget. Nasi hainam nya juga berasa bangettttt ah suka deh pokoknya.. yg pasti bakal balik lagi. Cuma sayang ya pas makan rame dan AC nya kek na mati apa gmn jd panassss pdhl tmpt uda bagus n harusnya kalau dingin lebi nyaman makannya ga kepanasan. Bole ya AC nya dinyalain apa dibetulin gitu
Kopi Tarik Edwin,"Green Terrace TMII, GF Blok A No.06, Jl. Raya Mabes Hankam No.10, Ceger, Kec. Cipayung, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,07.00  -  12.00,7:00:00 AM,  12.00,10.000  -  30.000,"10.000,00","30.000,00","20.000,00",4.6,2122097861,Café,"Kopi Tarik, Teh Tarik, Roti Bakar, Pisang Goreng",Pertama kali coba sarapan d sini.. MasyaAllah enak mie warkop acehnya.. Kopi tarik dan teh tariknya jg enak.. Cm kuah karinya untuk kami kurang sedikit kental.. Overall ok ماشاءالله barakallahu fiikum..
H.E.M.A Resto,"Jl. Raya Mabes Hankam No.10, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.4,,Restoran,"Bitterballen, Poffertjes, Kroket, Dutch Coffee","For us this is the real food . Rasanya autentic , dari bahan makanan, rasa , porsi diukur dgn pas . Tdk berlebihan tdk kurang . Soup Iga kaldunya ngadul dari tulang nya bukan dr msg dan tanpa effort , nasi gorengnya mengingatkan masakan Alm.bokap. Soupnya mungkin tanpa cream ato susu tapi enak kl sy tdk salah menebak, mangkuknya juga ikut dipanaskan jd soupnya panas lbh lama. Poffertjesnya tanpa gula diadonan krn dpt manisnya dr es cream vanila nya jd pas , dan adonannya tdk cuma tepung ..bener² pas semua . Suasana restonya oldiest , servicenya cepat , makanan di sajikan bersamaan , jd tdk perlu saling menunggu . Harga masih termasuk wajar utk ukuran resto . Pulang dari ini kami benar² happy ."
YaKun Kaya Toast TMII,"Jl. Raya Mabes Hankam No.10, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,09.00  - 21.00,9:00:00 AM, 21.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.4,2129840247,Café,"Kaya Toast, Soft Boiled Eggs, Kopi, Teh","Review pertama di tempat ini. Tempatnya nyaman. Nuansanya putih, jadi kesannya homy. Banyak varian toast di sini dari mulai yang manis hingga asin. Minuman yg saya pesan enak. Makanan yang saya pesan juga enak. Tempatnya ada outdoor dan indoor. Pelayanan juga ramah. Penyajiannya cukup cepat. Excellent in service. Pertahankan."
Seblak smaput 4 bambu APUS,"Jl. Bambu Apus Raya No.003 1, RT.7/RW.3, Bambu Apus, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10384",Jakarta Timur,09.00  - 21.00,9:00:00 AM, 21.00,5000  -  20.000,"5.000,00","20.000,00","12.500,00",4.8,81321258913,PKL,"Seblak Ceker, Seblak Bakso, Seblak Sosis, Seblak Makaroni","Seblak seafood dengan cita rasa asem pedes yg jadi favorit kami. Sayang hanya ada es teh dan air mineral minumnya. Es teh kalo dine in bisa refill 1x. Duduk di kursi utk outdoor, dan lesehan utk indoor. Sebenarnya enak indoor ya tapi aroma engap dan bau sikil campur bau lembab karpet gt bikin ga mood, mungkin bisa pake pewangi ruangan semprot bberapa menit skali atau yg di gantung di kipas/AC gitu"
Sederhana Masakan Padang,"4, Jl. Bina Marga No.38, RT.10/RW.3, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,08.00  -  22.00,8:00:00 AM,  22.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.5,2129060097,Restoran,"Rendang, Ayam Pop, Gulai Ikan, Sambal Ijo","Salah satu tempat favorit buat makan padang, selain deket rumah ya karna emang enak masakannya. Favorit banget deh, bumbu di kuah gulainya tuh berasa banget enak pokoknya."
3Wcoffee & kitchen,"Jl. Gempol Raya No.23, Bambu Apus, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13890",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,10.000  -  30.000,"10.000,00","30.000,00","20.000,00",4.6,816899333,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Merupakan suatu resto & cafe yang berlokasi di Jln. Raya Gempol (daerah Bambu Apus) Cipayung, Jakarta Timur, yang menyediakan menu makanan Indonesia & Steak serta minuman (beragam Juice & Coffee). Untuk rasa makanan & minumannya enak & nikmat, serta didukung dengan tata ruang yang nyaman, santai, serta unik (cocok untuk makan bersama keluarga, acara arisan ataupun untuk acara kumpul-kumpul bersama teman/ gathering). Recommended deh..."
Ayam Mercon Ceger,"Jl. Raya Ceger No.14 5, RT.2/RW.1, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,11.00  -  21.00,11:00:00 AM,  21.00,10.000  -  60.000,"10.000,00","60.000,00","35.000,00",4.6,82110170007,PKL,"Ayam Mercon, Ayam Goreng, Ayam Bakar, Sambal Mercon","Makanannya lumayan enak terutama ayam merconnya, layanan oke, harga terjangkau, tempatnya luas, lengkap ada toilet dan mushollah"
Amorcakes & Bakery  -  Cipayung Jakarta Timur,"Jl. Cipayung Raya No.RT. 10, RT.10/RW.1, Cipayung, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840",Jakarta Timur,08.00  -  22.00,8:00:00 AM,  22.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.9,81284638452,Bakery,"brownies, roti pizza, roti keju, roti cokelat","Jualan kue-kue. Juga terima order box untuk acara. Rasa makanannya oke juga, sesuai harga."
Kedai Mancing Ikan Bakar Khas Makassar,"Jl. Raya Mabes Hankam No.33 1, RT.1/RW.2, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,20.000  -  700.000,"20.000,00","700.000,00","360.000,00",4.5,2187781733,Restoran,"Ikan Bakar, Coto Makassar, Konro, Es Pisang Ijo","Kalau anda kangen makanan asal sulawesi anda wajib mampir ke resto ini. Di Kedai mancing anda bisa menikmati palu mara atau ikan kuah, ikan baronang bakar, singonggi, dan untuk dessert anda bisa makan es pisang ijo yang rasanya maknyus. Untuk harga tergolong normal. Untuk tempat lumayan ada yang ber ac dan ada yang tidak. Untuk parkir bisa untuk 2-3 mobil."
Waroengkoe,"Jl. Bambu Apus Raya No.63, Bambu Apus, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,10.00  -  21.00,10:00:00 AM,  21.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.5,87875876757,Café,"Nasi Goreng, Mie Goreng, Sate Ayam, Sate Kambing","Interiornya bagus khas rumah makan jawa cuma lumayan panas walaupun ada kipas.. untuk nasi gudeg komplitnya enak sambelnya jg pedes nya pas, garang asemnya lumayan gtu juga tahu nya.. cincau porsi nya jg banyak bs bikin kenyang jg.. harga masih ok"
312 Warung H. Amin Ayam Penyet Khas Madura Bambu Apus,"Jl. Bambu Apus Raya No.30 Blok F, RT.10/RW.2, Bambu Apus, Cipayung, East Jakarta City, Jakarta 13890",Jakarta Timur,10.00  -  23.00,10:00:00 AM,  23.00,10.000  -  30.000,"10.000,00","30.000,00","20.000,00",4.5,85974013380,PKL,"Ayam Penyet, Bebek Penyet, Lele Penyet, Sambal Terasi","Disini jual makanan dari soto, sate, nasi goreng, seafood, minuman juga banyak. Jadi satu tempat bisa pesan macam2 jenis makanan. Gak terlalu ramai jadi cukup nyaman. Harga masih standar lah, rasa juga lumayan."
Kupinami Cafè & Resto,"Jl. Bina Marga No.44, RT.2/RW.4, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,07.00  -  21.00,7:00:00 AM,  21.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.7,8111314314,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Minimalis cafe yang menurutku cukup homeeyyy ya untuk bersantai ria dengan teman2. Overall makanan dan minumannya enak-enak banget. Pengalaman pertamaku kesini pesen 3 menu sekaligus dan tidak mengecewakan, semuanya enak. Aku pesan Roti Bakar Nutella Keju (9/10), Nasi Goreng Wagyu (8/10) tapi sumpah daging Wagyunya banyak bangett dan bumbunya rich banget mantul, dan Jus Kurma (100/10) ini buat aku recommended banget soalnya baru pertama kali nyobain disini jus kurma yang kentel banget, rasanya gak terlalu manis tapi enak."
Mie Ayam bakso bang jenggot,"Jl. Raya Ceger No.34, RT.7/RW.3, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,11.00  -  21.00,11:00:00 AM,  21.00,10.000  -  30.000,"10.000,00","30.000,00","20.000,00",4.5,81297222682,PKL,"Mie Ayam, Bakso Urat, Bakso Telur, Mie Goreng","Mie ayam mie kecil suka,baksonya enak, kuahnya sedep,sambelnya juga asli cabe dan bersih tempatnya,ditambah keripik pangsit mantapp"
Bakso Rusuk Joss Ciracas Restaurant,"Jl. Pengantin Ali No.30, RT.6/RW.6, Ciracas, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13740",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,10.000  -  60.000,"10.000,00","60.000,00","35.000,00",4.3,81210427758,Restoran,"Bakso Rusuk, Bakso Urat, Bakso Telur, Mie Ayam",Rajanya bakso fenomenal! Kesini ngidam bakso lavanya aseli bikin kangen. Saus lava di dalem bakso ini tuh pedesnya nampol banget yaa baksonya sendiri berdaging dan empuk. Wajib kesini bareng keluarga makin seru!
BAKSO & MIE AYAM PAKDE HEBRING,"Jl. Lubang Buaya, RT.3/RW.6, Lubang Buaya, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13810",Jakarta Timur,12.15  -  21.45 ,12:15:00 PM,  21.45 ,10.000  -  30.000,"10.000,00","30.000,00","20.000,00",4.6,82242743499,PKL,"Bakso Urat, Bakso Telur, Mie Ayam, Mie Goreng","Baksonya enak², ga sangka si enak pdhl deket kantor. Posisinya pas lg ke pengadaian liat warung bakso kok rame ya eh gataunya emg enak si baksonya ada dua pilihan bakso, bakso urat n telur kalo kalian mau coba boleh bgt di mix bakso urat n telur disatu mangkok. Oiya bude n pakdenya jg jual mie ayam, mie ayam khas jawa ya yg ayam kecap gitu"
Restoran Rumpun Bambu,"Jl. Supriyadi No.19, RT.7/RW.3, Susukan, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13750",Jakarta Timur,10.00  -  21.00,10:00:00 AM,  21.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.3,2187785205,Restoran,"Nasi Goreng, Mie Goreng, Sate Ayam, Sate Kambing","Tempatnya nyaman,makanan enak n pas di lidah saya, harga terjangkau, bisa karaoke juga. Parkir terbatas. Ruang indoor dan outdoor. Bisa untuk gathering. Toilet bersih tapi sepertinya perlu beberapa perbaikan. Nasi bambunya enak 👍"
Imperial Kitchen & Dimsum  -  Mall Cijantung,"Jl. Pendidikan I No.1, RT.1/RW.4, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770",Jakarta Timur,10.00  -  21.00,10:00:00 AM,  21.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.4,2122098212,Restoran,"Nasi goreng, siomay, hakao, asparagus","Makan malam bersama keluarga untuk merayakan ulang tahun pernikahan kami. Makanannya enak, bersih, harga standar. Hanya saja AC yang berada dekat kami tidak berfungsi dengan normal jadi sewaktu² sangat dingin seperti badai. Mungkin bisa diperbaiki demi kenyamanan pelanggan."
SEDJUK BAKMI & KOPI CIJANTUNG,"Jl. Pedati Sel., RT.3/RW.6, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770",Jakarta Timur,08.00  -  22.00,8:00:00 AM,  22.00,20.000  -  100.000,"20.000,00","100.000,00","60.000,00",4.7,81119208835,Café,"Bakmi Ayam, Bakmi Goreng, Kopi Tubruk, Es Teh","Bukber disini tgl 31 dapat tempat dipojokan yang enak. Mienya tipe mie karet, kuah ya enak cuma karena puasa dan dikeluarin mienya itu sebelum buka sekitar 10 menit mienya udah dingin untung ga melar. Baksonya juga enak, anak aku sampe pesen lagi yg bakso doang. Pangsitnya juga enak besar. Minumannya aja yang mahil nih hiks wkwkwk pisang goreng gula aren in the sky kata temenku enak banget, tapi bagiku b aja enakan pisang madu Bu Nanik wkwk pelayanannya mantap. Trus juga senang sama vibes sedjuk disini, toiletnya bajus"
Bakmi Point 8,"Raya # Rt 003 Rw 07 Kelurahan Kecamatan Ciracas, Jl. Raya Poncol No.18, RT.3/RW.7, Ciracas, Jakarta Timur, DKI Jakarta, Daerah Khusus Ibukota Jakarta 13740",Jakarta Timur,11.00  -  22.00,11:00:00 AM,  22.00,10.000  -  30.000,"10.000,00","30.000,00","20.000,00",4.5,8128665858,PKL,"Bakmi Ayam, Bakmi Goreng, Pangsit Goreng, Nasi Goreng","Hampir semua sudah dicoba, enak-enak semua. Harga memang diatas rata-rata, tapi porsinya lebih banyak dan rasanya lebih enak"
